sim,method,1,2,3
70,OT-ICA,0.10683519780767203,0.21341733261182455,0.6797474695805034
70,FastICA,0.10346479076310482,0.21196276298111538,0.6845724462557798
70,Chol-min,0.007303233683729026,0.0724295645792528,0.10873234959529247
70,Chol-max,0.40242324974835103,0.6165145372408197,0.8581799574946098
71,OT-ICA,0.10865176289878858,0.24601410922475705,0.6453341278764543
71,FastICA,0.10563108434987623,0.23342945735051507,0.6609394582996087
71,Chol-min,0.007837410913281712,0.07606568492422036,0.08742957360043062
71,Chol-max,0.41847391715121496,0.6316635442891715,0.8446266633817614
72,OT-ICA,0.08572165063236356,0.24969732613014267,0.6645810232374937
72,FastICA,0.0801120891974239,0.2506295163004386,0.6692583945021374
72,Chol-min,0.008104086415896451,0.07285073678984662,0.11326338076912779
72,Chol-max,0.400865085519653,0.6118570489688965,0.857054633591153
73,OT-ICA,0.09742437341232064,0.22365255383561336,0.678923072752066
73,FastICA,0.09653153901402299,0.21317377402864857,0.6902946869573284
73,Chol-min,0.005739397946022955,0.06337563950394445,0.11044914956570939
73,Chol-max,0.41311478051361955,0.6159775203338892,0.8723377469842774
74,OT-ICA,0.09993999742460359,0.17846402810248002,0.7215959744729163
74,FastICA,0.119197996509592,0.17536983492787706,0.705432168562531
74,Chol-min,0.01108500761783431,0.0479326737788851,0.11747464649751924
74,Chol-max,0.45493018369055,0.564736065701213,0.881745915319731
75,OT-ICA,0.09214849977553942,0.20960618601715644,0.6982453142073041
75,FastICA,0.09218270290245746,0.20695120036991843,0.7008660967276241
75,Chol-min,0.011116777900192795,0.050444849030626696,0.13022537420428254
75,Chol-max,0.43320817282551777,0.5675523164794328,0.8819146718784122
76,OT-ICA,0.1184257244589805,0.14432821853005123,0.7372460570109682
76,FastICA,0.12013101014871849,0.14202374312637497,0.7378452467249065
76,Chol-min,0.01934643551178229,0.028354264311439097,0.15299916601394564
76,Chol-max,0.46878331310277194,0.5182824725629263,0.9005863539294776
77,OT-ICA,0.1692400948547305,0.24999759341706804,0.5807623117282015
77,FastICA,0.16754282027438852,0.24623488582441752,0.586222293901194
77,Chol-min,0.012705268430656952,0.1016133688076164,0.056101535873895575
77,Chol-max,0.4247766224380405,0.6492166136925347,0.7908924539771818
78,OT-ICA,0.08608240912169561,0.23926725863994158,0.6746503322383628
78,FastICA,0.09192293350120195,0.23128422771116358,0.6767928387876345
78,Chol-min,0.009908199427655572,0.07034297132761143,0.09431197276272252
78,Chol-max,0.4151764871753327,0.6199157773488639,0.850436308558897
79,OT-ICA,0.12026276863731811,0.24960021686965297,0.630137014493029
79,FastICA,0.13448546790648078,0.27124696835857376,0.5942675637349454
79,Chol-min,0.016960905179666707,0.05731278116735404,0.1099651296348025
79,Chol-max,0.45179980155202365,0.562943221862459,0.857608006980734
80,OT-ICA,0.10529644980275421,0.2393283739827392,0.6553751762145066
